order_id,item_id,quantity
5001,10010,9
5001,10006,2
5001,10009,5
5002,10003,3
5002,10001,1
5002,10002,6
5003,10003,5
5004,10007,10
5004,10010,3
5004,10009,2
5004,10001,6
5004,10008,7
5004,10006,1
5005,10010,4
5006,10008,2
5007,10006,7
5007,10010,4
5008,10004,3
5009,10009,7
5009,10007,7
5010,10006,9
5010,10002,2
5011,10005,1
5011,10010,6
5012,10002,8
5012,10007,10
5012,10004,5
5012,10009,10
5012,10001,8
5012,10005,5
5013,10003,2
5014,10010,8
5014,10009,1
5014,10007,7
5014,10004,8
5014,10002,9
5014,10003,7
5014,10005,7
5015,10001,6
5015,10005,8
5015,10003,8
5015,10009,4
5015,10010,3
5016,10009,5
5016,10008,9
5017,10004,1
5017,10009,10
5017,10005,6
5017,10007,6
5017,10008,1
5017,10002,9
5018,10005,7
5018,10008,8
5018,10010,1
5018,10003,9
5018,10009,2
5019,10008,4
5019,10004,6
5020,10009,5
5020,10003,6
5021,10003,6
5021,10005,6
5021,10006,3
5021,10007,9
5021,10008,9
5022,10005,3
5022,10003,4
5022,10007,4
5023,10006,5
5023,10008,5
5023,10001,8
5023,10009,1
5024,10010,1
5024,10006,7
5024,10007,2
5024,10005,8
5024,10003,3
5025,10004,4
5025,10006,7
5025,10001,1
5025,10010,5
5025,10008,8
5025,10009,8
5025,10002,1
5026,10004,9
5026,10003,5
5026,10009,7
5026,10001,5
5026,10007,1
5026,10008,6
5026,10002,3
5026,10010,7
5027,10003,1
5027,10001,2
5027,10004,10
5027,10005,10
5028,10002,3
5028,10005,6
5029,10003,1
5029,10002,2
5029,10009,6
5030,10007,2
5030,10004,3
5030,10005,5
5030,10006,4
5030,10009,2
5030,10001,8
5030,10008,6
5031,10004,8
5032,10010,8
5032,10005,6
5032,10007,8
5032,10002,5
5032,10001,9
5032,10003,8
5032,10004,5
5032,10009,2
5033,10006,9
5033,10002,8
5033,10007,7
5033,10003,9
5033,10004,4
5033,10001,8
5033,10009,10
5034,10009,8
5034,10002,3
5034,10010,2
5034,10008,5
5034,10006,2
5034,10004,2
5034,10007,2
5034,10001,6
5035,10006,2
5035,10005,6
5035,10004,6
5035,10007,5
5035,10001,6
5035,10008,1
5036,10003,10
5036,10006,5
5036,10008,6
5036,10004,4
5036,10007,9
5036,10010,1
5037,10001,7
5037,10004,1
5037,10010,1
5037,10003,3
5037,10002,9
5037,10009,1
5037,10005,6
5038,10005,6
5038,10008,7
5038,10003,4
5038,10009,6
5038,10010,8
5038,10004,10
5038,10002,6
5038,10006,9
5039,10004,3
5039,10006,5
5039,10005,8
5039,10009,10
5039,10008,4
5039,10001,10
5039,10003,2
5039,10010,2
5040,10008,5
5040,10003,7
5040,10005,5
5041,10003,2
5041,10005,8
5041,10007,9
5042,10001,6
5042,10009,1
5042,10007,1
5042,10010,2
5042,10008,1
5042,10003,2
5042,10005,5
5043,10006,1
5043,10004,9
5043,10007,10
5044,10008,9
5044,10005,5
5044,10009,5
5044,10007,8
5044,10001,2
5045,10010,6
5045,10009,3
5045,10005,8
5045,10003,6
5045,10008,1
5046,10004,2
5046,10001,1
5046,10010,5
5046,10002,10
5046,10009,9
5047,10001,9
5047,10003,3
5047,10004,4
5047,10005,1
5048,10006,6
5048,10005,10
5048,10010,5
5048,10003,1
5048,10002,3
5048,10004,1
5049,10004,1
5049,10009,7
5049,10008,6
5049,10006,10
5049,10001,8
5049,10007,6
5049,10005,9
5050,10007,6
5050,10004,5
5050,10005,8
5051,10003,9
5051,10004,5
5051,10002,5
5052,10008,4
5052,10004,1
5052,10001,8
5052,10003,8
5052,10006,9
5052,10007,3
5052,10009,6
5053,10005,7
5053,10008,7
5053,10003,9
5053,10007,7
5053,10004,5
5054,10008,7
5054,10010,3
5054,10005,4
5054,10002,10
5054,10004,1
5054,10003,10
5054,10009,1
5055,10006,2
5055,10005,10
5055,10009,9
5055,10007,5
5055,10004,9
5056,10007,9
5056,10003,1
5056,10001,5
5056,10005,5
5056,10010,8
5057,10001,3
5058,10006,3
5059,10010,5
5059,10004,2
5059,10003,3
5059,10007,6
5059,10002,2
5059,10001,6
5059,10005,8
5059,10008,8
5060,10010,10
5060,10003,8
5060,10005,7
5061,10004,4
5061,10003,7
5061,10009,1
5062,10002,9
5062,10004,3
5063,10004,3
5063,10002,4
5063,10009,2
5064,10005,10
5064,10007,7
5064,10010,5
5064,10008,7
5064,10002,8
5064,10006,5
5064,10001,7
5064,10004,5
5065,10009,3
5065,10003,6
5065,10005,4
5065,10010,9
5065,10004,5
5066,10001,8
5066,10006,7
5066,10002,3
5066,10005,7
5067,10008,2
5067,10003,7
5067,10010,4
5068,10009,5
5068,10004,5
5069,10005,5
5069,10007,9
5069,10002,2
5069,10006,1
5069,10001,1
5069,10010,5
5069,10003,1
5069,10004,9
5070,10003,4
5070,10008,3
5071,10003,5
5071,10008,7
5071,10007,1
5071,10009,10
5071,10002,2
5071,10010,8
5071,10004,7
5072,10010,1
5072,10006,5
5072,10005,9
5072,10007,2
5073,10004,3
5073,10005,2
5073,10002,3
5073,10009,1
5074,10005,5
5075,10003,6
5075,10009,5
5075,10008,5
5075,10005,7
5076,10004,7
5076,10003,9
5076,10008,6
5077,10004,8
5077,10007,6
5077,10006,8
5077,10001,5
5077,10010,8
5077,10005,9
5078,10005,3
5078,10004,9
5078,10010,9
5078,10007,3
5079,10004,7
5080,10002,9
5080,10005,2
5080,10004,2
5080,10003,2
5080,10008,2
5080,10007,3
5081,10010,5
5081,10007,3
5081,10003,6
5081,10006,1
5081,10002,7
5081,10001,8
5082,10010,9
5082,10001,4
5082,10006,9
5082,10005,2
5083,10006,3
5083,10008,9
5084,10001,9
5084,10009,10
5084,10005,7
5084,10006,3
5085,10006,9
5085,10010,3
5085,10008,8
5085,10003,6
5086,10006,3
5086,10001,2
5086,10009,9
5086,10007,2
5087,10002,7
5087,10004,9
5087,10009,3
5087,10001,6
5087,10005,4
5087,10007,4
5087,10006,3
5087,10008,3
5088,10004,3
5089,10007,5
5089,10006,3
5089,10008,1
5089,10002,9
5089,10001,1
5090,10006,2
5090,10007,4
5090,10009,1
5090,10005,2
5090,10003,4
5090,10008,1
5090,10002,4
5091,10001,10
5091,10002,7
5091,10009,8
5091,10005,6
5091,10004,8
5092,10002,4
5093,10002,3
5093,10010,3
5093,10004,4
5093,10006,5
5093,10005,1
5093,10008,8
5094,10003,7
5094,10010,8
5095,10010,7
5096,10005,10
5096,10002,10
5096,10010,3
5097,10003,1
5097,10004,2
5097,10002,8
5097,10008,10
5097,10007,3
5097,10010,9
5098,10010,10
5098,10003,10
5098,10007,8
5098,10004,3
5098,10008,4
5098,10005,2
5098,10009,2
5098,10002,3
5099,10005,10
5099,10001,9
5099,10007,1
5099,10002,4
5099,10008,8
5099,10006,2
5099,10004,2
5099,10003,10
5100,10010,2
5100,10009,4
5100,10008,6
5100,10004,5
5100,10002,9
5100,10006,6
5100,10001,10
5100,10005,6
5101,10001,8
5101,10003,2
5101,10002,3
5101,10010,7
5102,10002,5
5102,10007,5
5103,10004,2
5103,10008,10
5103,10005,7
5103,10009,6
5104,10006,7
5104,10002,10
5105,10004,1
5105,10006,10
5106,10007,9
5106,10001,8
5107,10004,8
5107,10006,6
5107,10003,6
5107,10008,1
5107,10007,5
5107,10010,2
5107,10002,6
5107,10005,9
5108,10003,10
5108,10010,5
5108,10005,2
5108,10006,1
5108,10008,5
5109,10004,7
5109,10003,3
5109,10006,9
5109,10007,9
5109,10008,9
5109,10002,6
5109,10005,9
5109,10001,7
5110,10006,10
5110,10004,3
5110,10010,8
5110,10007,5
5110,10009,5
5111,10003,1
5111,10001,6
5112,10004,8
5112,10006,5
5112,10009,8
5112,10010,5
5112,10002,6
5112,10007,5
5112,10001,8
5113,10005,9
5113,10007,4
5113,10010,5
5114,10003,3
5114,10001,1
5114,10005,10
5114,10002,8
5114,10009,10
5114,10010,10
5115,10007,4
5115,10006,10
5115,10010,9
5115,10001,4
5116,10009,7
5116,10006,1
5116,10007,1
5116,10002,1
5117,10009,8
5117,10008,7
5117,10002,4
5117,10005,5
5117,10003,4
5117,10010,8
5117,10004,4
5118,10010,2
5118,10004,1
5118,10007,5
5118,10005,6
5118,10008,5
5119,10006,6
5119,10010,9
5119,10002,6
5119,10009,10
5119,10007,1
5120,10002,2
5120,10001,2
5120,10007,9
5120,10006,4
5120,10003,3
5120,10004,4
5120,10009,4
5121,10001,7
5121,10004,7
5121,10009,7
5121,10007,8
5121,10006,10
5121,10005,7
5121,10002,1
5121,10008,4
5122,10001,9
5122,10006,3
5122,10007,1
5122,10008,10
5122,10002,9
5122,10003,3
5122,10009,4
5122,10004,10
5123,10010,4
5123,10003,10
5123,10006,8
5123,10004,4
5123,10007,10
5123,10008,4
5123,10005,6
5124,10009,10
5124,10001,10
5124,10004,2
5124,10005,3
5124,10002,8
5124,10010,9
5124,10008,2
5124,10003,3
5125,10003,4
5126,10004,5
5126,10003,4
5126,10006,5
5126,10001,1
5126,10010,9
5126,10005,5
5126,10009,6
5127,10001,7
5127,10006,9
5128,10008,4
5128,10005,8
5128,10003,4
5128,10007,1
5128,10004,5
5128,10006,1
5128,10001,3
5129,10009,3
5129,10010,10
5129,10003,2
5129,10008,2
5129,10001,10
5129,10007,1
5130,10001,2
5130,10010,3
5131,10010,2
5132,10008,2
5132,10006,9
5132,10004,7
5132,10003,7
5132,10010,6
5132,10009,6
5132,10007,4
5132,10001,9
5133,10005,9
5134,10009,7
5134,10002,1
5135,10008,2
5135,10002,5
5136,10002,2
5136,10004,5
5136,10001,10
5136,10005,1
5136,10006,2
5136,10010,4
5136,10003,10
5136,10007,9
5137,10006,1
5137,10001,8
5137,10009,7
5137,10010,6
5137,10008,9
5137,10003,1
5137,10005,1
5138,10002,1
5138,10007,5
5138,10009,10
5138,10003,4
5138,10005,9
5138,10006,7
5138,10004,2
5138,10010,6
5139,10002,6
5139,10004,2
5139,10001,1
5139,10008,1
5140,10008,7
5140,10004,6
5141,10009,4
5141,10006,3
5142,10004,4
5142,10005,2
5143,10002,4
5144,10010,6
5144,10003,5
5144,10006,10
5145,10002,7
5145,10006,3
5145,10007,9
5145,10003,7
5145,10004,9
5145,10001,10
5145,10010,2
5146,10002,2
5146,10009,8
5147,10005,5
5147,10003,4
5147,10009,5
5147,10010,5
5147,10007,10
5148,10002,9
5148,10008,6
5149,10002,2
5149,10007,5
5149,10003,9
5150,10004,6
5150,10006,10
5150,10002,6
5150,10010,8
5151,10009,5
5151,10005,5
5151,10008,1
5152,10008,9
5152,10004,4
5152,10007,7
5152,10009,3
5152,10003,5
5152,10005,1
5152,10001,9
5152,10002,1
5153,10001,9
5153,10004,4
5153,10005,6
5153,10002,8
5154,10006,5
5154,10005,9
5154,10008,7
5155,10001,2
5155,10006,10
5155,10009,7
5156,10008,3
5156,10009,3
5157,10010,2
5157,10007,2
5157,10009,3
5157,10002,4
5157,10008,7
5158,10007,8
5158,10002,5
5158,10005,9
5158,10008,9
5158,10010,9
5159,10003,4
5159,10005,1
5159,10002,9
5159,10008,2
5159,10007,10
5159,10004,2
5159,10006,5
5159,10010,4
5160,10001,3
5160,10007,7
5160,10004,5
5160,10005,1
5160,10003,7
5160,10010,4
5160,10002,3
5161,10005,1
5161,10010,3
5161,10001,6
5161,10007,4
5161,10008,3
5161,10003,1
5162,10005,2
5162,10002,3
5163,10007,9
5163,10003,2
5163,10008,9
5163,10001,3
5164,10001,1
5164,10007,9
5164,10010,2
5164,10004,2
5164,10006,1
5164,10008,6
5164,10009,4
5164,10005,2
5165,10004,9
5165,10005,3
5165,10007,5
5165,10002,3
5166,10010,6
5166,10006,9
5166,10007,7
5166,10003,10
5166,10001,2
5166,10002,10
5166,10009,2
5166,10005,9
5167,10006,2
5167,10003,7
5167,10010,9
5167,10008,6
5167,10004,1
5167,10002,3
5167,10009,2
5167,10005,9
5168,10003,3
5168,10004,8
5168,10005,8
5168,10006,10
5169,10003,8
5169,10001,2
5170,10008,10
5171,10007,4
5171,10009,5
5171,10006,9
5172,10006,1
5172,10008,6
5173,10008,4
5173,10004,2
5174,10002,5
5174,10004,3
5174,10005,5
5174,10010,6
5174,10001,4
5175,10001,9
5175,10008,3
5176,10004,4
5176,10003,7
5176,10005,10
5176,10001,3
5176,10009,10
5177,10004,7
5177,10010,7
5177,10005,7
5177,10001,10
5178,10001,10
5178,10004,8
5179,10003,8
5179,10002,7
5179,10009,7
5179,10001,10
5179,10010,1
5180,10003,8
5180,10008,2
5180,10006,1
5181,10003,7
5181,10002,7
5181,10010,10
5182,10005,8
5183,10007,6
5183,10010,5
5183,10005,7
5183,10008,8
5184,10007,8
5184,10010,1
5184,10009,5
5185,10007,1
5185,10008,4
5185,10004,1
5185,10002,3
5185,10005,2
5186,10001,4
5186,10002,10
5186,10010,3
5186,10004,6
5186,10006,3
5186,10008,3
5187,10008,4
5188,10001,6
5188,10009,4
5188,10008,9
5188,10006,6
5188,10005,6
5188,10010,2
5188,10004,2
5189,10009,2
5189,10010,8
5189,10006,6
5189,10008,2
5189,10003,4
5189,10007,2
5189,10002,4
5190,10004,7
5190,10005,5
5190,10006,1
5190,10010,9
5190,10002,9
5190,10008,2
5190,10007,4
5191,10006,3
5191,10005,9
5192,10009,7
5192,10005,9
5192,10004,8
5193,10009,4
5193,10008,4
5193,10005,9
5194,10002,1
5194,10004,8
5194,10001,9
5194,10010,8
5194,10005,9
5194,10003,7
5195,10001,9
5195,10002,7
5195,10008,4
5195,10009,7
5195,10010,9
5195,10006,6
5195,10003,10
5196,10009,5
5196,10002,8
5196,10008,1
5196,10010,8
5196,10003,3
5196,10004,6
5196,10001,5
5197,10007,5
5197,10001,9
5198,10005,8
5199,10010,9
5199,10008,7
5200,10008,3
5200,10010,4
5200,10002,2
5201,10009,1
5201,10002,4
5201,10005,7
5201,10003,10
5201,10004,2
5202,10002,5
5202,10004,1
5202,10010,4
5202,10003,7
5203,10002,5
5203,10008,4
5203,10007,9
5204,10010,1
5205,10007,5
5205,10004,6
5205,10008,7
5205,10006,10
5206,10007,5
5206,10005,3
5206,10003,5
5206,10004,8
5206,10009,1
5207,10004,1
5208,10006,4
5208,10010,6
5208,10001,10
5208,10004,10
5209,10004,9
5209,10009,7
5209,10008,1
5209,10002,7
5209,10003,5
5210,10004,3
5210,10005,7
5210,10007,6
5210,10002,7
5210,10006,4
5210,10008,4
5210,10001,2
5210,10009,5
5211,10004,6
5211,10009,2
5212,10005,3
5212,10002,3
5212,10010,8
5212,10006,3
5212,10007,5
5212,10008,2
5212,10001,4
5213,10008,4
5213,10010,5
5213,10002,8
5213,10006,7
5213,10005,3
5213,10009,7
5214,10007,1
5214,10010,5
5214,10005,4
5214,10006,9
5214,10001,6
5215,10009,7
5215,10006,2
5216,10003,8
5217,10002,9
5217,10007,2
5217,10009,8
5217,10005,1
5217,10004,6
5217,10006,7
5218,10002,2
5218,10004,6
5219,10008,6
5219,10009,4
5219,10005,10
5219,10006,2
5219,10004,2
5219,10001,8
5220,10009,1
5220,10002,9
5221,10007,6
5221,10004,5
5221,10003,3
5221,10006,2
5221,10002,4
5221,10005,9
5222,10005,9
5222,10010,3
5222,10006,8
5222,10007,8
5222,10009,8
5222,10003,6
5222,10001,4
5223,10004,4
5224,10006,10
5224,10002,9
5224,10007,5
5224,10003,3
5224,10004,10
5224,10005,6
5224,10008,7
5224,10010,7
5225,10002,6
5225,10007,9
5226,10002,4
5226,10008,1
5227,10008,2
5227,10003,10
5227,10007,6
5227,10010,2
5228,10001,10
5229,10009,4
5229,10008,8
5229,10002,8
5229,10010,4
5229,10007,3
5229,10004,7
5229,10001,6
5230,10009,8
5230,10001,1
5230,10002,9
5230,10003,7
5231,10006,1
5231,10003,4
5231,10007,6
5231,10005,2
5232,10006,2
5232,10009,2
5232,10002,3
5232,10008,2
5233,10004,7
5233,10010,10
5233,10002,6
5233,10003,2
5233,10009,3
5233,10008,3
5234,10002,4
5234,10003,10
5234,10004,5
5234,10009,2
5234,10005,5
5234,10010,3
5234,10008,8
5234,10006,1
5235,10009,4
5235,10010,10
5235,10006,4
5235,10003,9
5235,10001,8
5235,10007,4
5236,10002,1
5236,10009,9
5236,10001,6
5236,10006,5
5236,10007,1
5236,10004,4
5237,10004,7
5237,10001,7
5237,10005,5
5237,10010,7
5237,10007,7
5237,10008,7
5237,10003,3
5238,10007,1
5238,10009,4
5238,10006,1
5239,10003,8
5239,10007,9
5239,10008,10
5239,10001,7
5239,10004,6
5239,10006,1
5240,10009,2
5240,10001,8
5240,10003,7
5240,10002,1
5240,10004,4
5241,10009,7
5242,10003,3
5242,10002,9
5242,10007,1
5242,10008,1
5242,10004,9
5243,10009,8
5244,10005,3
5244,10008,9
5244,10007,2
5244,10006,8
5244,10009,3
5244,10002,5
5244,10010,8
5244,10003,8
5245,10006,2
5246,10005,9
5246,10008,5
5246,10009,3
5246,10003,10
5246,10002,3
5246,10007,10
5247,10009,4
5248,10001,10
5248,10003,9
5248,10004,7
5248,10008,7
5248,10009,3
5248,10006,5
5248,10007,2
5248,10010,10
5249,10005,4
5249,10007,2
5249,10001,4
5249,10003,5
5249,10009,9
5249,10004,3
5249,10008,7
5250,10003,2
5250,10009,8
5250,10007,8
5250,10001,2
5250,10005,9
5250,10002,5
5250,10008,6
5250,10004,6
5251,10009,10
5251,10005,4
5251,10007,10
5251,10001,8
5251,10010,4
5252,10007,7
5253,10007,4
5253,10010,1
5253,10005,10
5253,10006,8
5253,10001,4
5253,10002,7
5253,10008,5
5254,10010,2
5254,10004,7
5255,10002,5
5255,10001,7
5255,10010,2
5255,10004,2
5255,10006,4
5255,10008,5
5255,10005,7
5255,10009,10
5256,10004,3
5256,10010,8
5256,10005,5
5256,10003,5
5256,10006,7
5256,10008,6
5256,10009,1
5257,10008,7
5258,10004,9
5258,10002,2
5258,10006,10
5258,10007,1
5258,10001,9
5258,10009,3
5258,10003,2
5258,10008,7
5259,10010,3
5259,10006,10
5260,10001,3
5261,10003,7
5261,10004,10
5261,10005,2
5261,10008,3
5261,10010,2
5261,10002,4
5261,10001,1
5261,10006,6
5262,10008,3
5262,10002,4
5262,10006,9
5262,10004,4
5262,10009,8
5262,10010,9
5262,10007,3
5262,10005,4
5263,10002,7
5263,10008,7
5264,10008,7
5264,10001,5
5264,10005,1
5264,10010,5
5264,10004,7
5265,10007,8
5265,10006,8
5265,10009,2
5265,10001,1
5265,10010,10
5266,10007,1
5266,10010,1
5266,10001,8
5266,10006,3
5266,10002,4
5267,10006,9
5267,10008,9
5267,10007,8
5267,10005,6
5267,10009,4
5268,10010,1
5268,10005,10
5268,10002,6
5269,10002,8
5270,10010,1
5270,10009,10
5271,10001,2
5271,10010,1
5271,10009,1
5271,10005,6
5271,10006,2
5272,10005,5
5272,10007,6
5272,10006,4
5273,10003,10
5273,10007,10
5273,10005,4
5273,10009,6
5273,10002,6
5273,10010,2
5273,10008,4
5273,10001,3
5274,10009,1
5274,10003,3
5275,10005,10
5275,10009,2
5275,10003,4
5275,10002,2
5275,10006,1
5276,10007,2
5276,10008,7
5276,10003,9
5276,10001,2
5276,10009,2
5276,10005,3
5276,10010,6
5276,10002,5
5277,10007,10
5277,10001,2
5277,10009,4
5277,10003,4
5278,10007,1
5278,10005,10
5278,10008,9
5278,10002,7
5278,10009,10
5278,10006,1
5279,10008,10
5279,10007,5
5279,10009,4
5280,10007,3
5280,10005,1
5280,10001,9
5280,10008,10
5280,10003,9
5281,10005,6
5281,10008,4
5282,10009,3
5282,10001,9
5282,10003,8
5282,10006,1
5282,10004,10
5283,10006,1
5284,10007,8
5284,10004,6
5284,10001,9
5285,10001,8
5286,10007,5
5286,10005,5
5286,10008,8
5286,10001,9
5286,10004,7
5286,10006,6
5287,10008,8
5287,10010,8
5287,10007,10
5287,10009,9
5287,10006,6
5288,10002,3
5288,10007,1
5288,10004,6
5288,10008,2
5288,10003,5
5288,10001,10
5288,10005,2
5289,10004,5
5289,10005,3
5289,10003,10
5289,10010,6
5289,10002,1
5289,10006,1
5289,10001,9
5289,10007,6
5290,10004,6
5290,10006,6
5290,10010,1
5290,10007,10
5290,10009,7
5290,10001,6
5291,10006,6
5291,10010,7
5291,10009,3
5291,10002,7
5292,10003,1
5292,10008,2
5292,10002,10
5292,10009,2
5292,10007,1
5292,10006,1
5293,10009,10
5293,10008,4
5293,10001,10
5293,10005,9
5293,10007,10
5293,10003,1
5293,10010,4
5293,10004,4
5294,10010,6
5294,10005,3
5294,10004,8
5294,10006,10
5295,10001,9
5295,10010,6
5295,10009,4
5295,10004,4
5295,10005,7
5295,10006,9
5295,10008,3
5295,10003,5
5296,10006,2
5297,10006,5
5297,10007,8
5297,10002,5
5297,10010,7
5297,10005,3
5298,10003,10
5298,10004,3
5298,10005,6
5298,10007,3
5298,10010,4
5299,10008,5
5299,10004,1
5299,10005,10
5299,10007,8
5299,10002,5
5299,10001,6
5299,10010,9
5299,10006,3
5300,10002,3
5300,10009,6
5300,10007,3
5300,10008,3
5300,10010,7
5301,10004,2
5302,10001,4
5302,10008,8
5302,10003,1
5302,10005,8
5302,10007,10
5302,10002,1
5302,10006,5
5302,10010,3
5303,10004,3
5303,10005,7
5303,10007,5
5303,10003,10
5303,10002,2
5303,10010,10
5303,10009,9
5304,10008,8
5304,10006,6
5305,10009,3
5305,10010,5
5306,10006,9
5306,10010,5
5306,10004,2
5306,10002,5
5306,10005,4
5307,10010,4
5308,10009,2
5308,10004,4
5309,10002,7
5309,10004,6
5309,10006,4
5309,10008,3
5309,10007,4
5309,10010,5
5309,10001,5
5309,10005,6
5310,10006,9
5310,10007,10
5310,10010,7
5310,10003,2
5310,10001,8
5310,10008,4
5311,10004,4
5311,10010,10
5311,10002,8
5311,10009,7
5311,10005,2
5312,10003,2
5312,10006,4
5312,10001,10
5312,10009,8
5313,10003,10
5313,10001,2
5314,10001,5
5314,10004,7
5314,10005,4
5314,10009,9
5314,10007,1
5315,10005,7
5315,10004,5
5315,10010,10
5315,10006,6
5315,10009,3
5316,10003,10
5317,10002,7
5318,10006,7
5318,10009,1
5318,10010,1
5318,10001,8
5319,10001,9
5320,10008,1
5320,10005,8
5321,10004,2
5321,10010,2
5321,10001,5
5321,10009,1
5321,10005,9
5321,10007,2
5322,10002,4
5323,10008,7
5323,10002,1
5323,10005,4
5323,10010,2
5323,10009,9
5323,10007,5
5323,10003,3
5324,10003,8
5324,10010,3
5324,10001,2
5324,10008,8
5324,10005,10
5325,10002,4
5325,10006,4
5325,10005,2
5325,10008,7
5325,10010,8
5326,10004,6
5326,10009,7
5327,10005,1
5327,10001,6
5327,10004,10
5327,10003,5
5327,10010,9
5328,10007,1
5328,10008,2
5328,10003,10
5328,10009,7
5329,10008,4
5330,10004,4
5330,10001,10
5330,10002,3
5330,10005,6
5330,10006,1
5330,10009,2
5331,10007,5
5331,10010,1
5331,10005,7
5332,10005,6
5332,10003,1
5332,10004,4
5332,10002,4
5332,10007,9
5333,10006,5
5334,10007,8
5334,10008,7
5334,10010,8
5334,10004,3
5334,10003,2
5334,10006,1
5335,10001,5
5336,10005,2
5336,10001,8
5336,10004,4
5336,10006,9
5337,10004,7
5337,10003,8
5337,10007,1
5337,10005,7
5337,10002,3
5337,10009,7
5338,10005,4
5338,10006,9
5339,10006,9
5339,10002,10
5340,10004,10
5340,10010,9
5341,10003,4
5341,10001,8
5341,10005,9
5341,10010,5
5341,10008,6
5342,10007,1
5342,10009,2
5343,10005,8
5343,10009,9
5343,10008,4
5343,10003,5
5343,10002,1
5343,10004,1
5344,10001,6
5344,10003,9
5344,10005,7
5344,10008,5
5345,10010,7
5345,10006,4
5345,10009,5
5345,10004,7
5345,10005,2
5345,10002,8
5345,10008,1
5345,10007,8
5346,10008,7
5346,10009,10
5347,10009,4
5347,10001,2
5347,10004,3
5347,10003,5
5348,10002,2
5348,10003,1
5348,10004,8
5348,10006,6
5348,10009,6
5348,10010,9
5348,10008,10
5348,10001,2
5349,10004,5
5349,10001,8
5349,10002,10
5349,10005,2
5349,10008,7
5349,10003,2
5349,10009,8
5350,10002,1
5351,10010,10
5351,10002,10
5351,10005,9
5352,10001,2
5352,10010,7
5353,10006,2
5353,10004,4
5353,10002,2
5353,10009,4
5353,10003,3
